                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                 1.1641,                0.58422,                0.92493,                0.92577,                0.92137,                0.95838,                0.65328,                 1.1715,                0.61049,                0.92734,             0.00063438,             0.00063438,             0.00063438
                    133,                 1.1774,                0.59849,                0.93159,                0.92533,                0.91602,                0.95546,                0.65839,                 1.1533,                0.60497,                0.92236,             0.00063071,             0.00063071,             0.00063071
                    134,                 1.1369,                0.57227,                0.92507,                0.90833,                0.95122,                0.95934,                0.65535,                 1.2019,                0.62332,                0.93319,             0.00062705,             0.00062705,             0.00062705
                    135,                 1.1822,                0.59534,                0.92358,                0.92345,                0.93448,                0.96366,                0.66137,                 1.1811,                0.63867,                0.93033,             0.00062338,             0.00062338,             0.00062338
                    136,                  1.193,                0.60986,                0.93461,                0.92157,                  0.904,                0.96107,                0.65752,                 1.1779,                0.63366,                0.92746,             0.00061972,             0.00061972,             0.00061972
                    137,                 1.2062,                0.61365,                0.93432,                 0.9297,                0.92227,                0.96249,                0.65769,                  1.215,                0.62626,                0.93582,             0.00061605,             0.00061605,             0.00061605
                    138,                 1.2288,                0.60074,                0.91881,                0.93787,                0.89399,                0.95439,                0.65633,                 1.2698,                0.63106,                0.93549,             0.00061238,             0.00061238,             0.00061238
                    139,                 1.1666,                0.60574,                0.93203,                0.93263,                0.90384,                0.95653,                0.66006,                 1.1891,                0.63135,                0.92265,             0.00060872,             0.00060872,             0.00060872
                    140,                 1.2082,                 0.6159,                0.91523,                0.90203,                0.91018,                0.94712,                0.64573,                 1.1886,                0.60853,                0.92589,             0.00060505,             0.00060505,             0.00060505
                    141,                 1.2007,                0.60936,                0.93354,                0.88644,                0.92464,                0.94609,                0.65534,                 1.1845,                0.59483,                0.92439,             0.00060138,             0.00060138,             0.00060138
